"shortZip","state","democratContribution","republicanContribution"
"94595","CA",83573.47,25241.61
"70809","LA",24649,84156.16
"95618","CA",95633.54,13148.78
"55419","MN",104877.24,3895.16
"94112","CA",99143.95,9560
"07430","NJ",41297.13,67355.74
"94566","CA",94897.62,13731
"75019","TX",13759.12,94690.32
"39110","MS",30724.07,77695.52
"06890","CT",18305.63,90064.69
"11101","NY",97467.85,10703
"53703","WI",106924.93,1183.73
"29601","SC",18660.43,89384
"73013","OK",38863.93,69148.59
"02482","MA",86903.13,21089
"02465","MA",94084.56,13844.58
"19085","PA",70250.35,37590
"95819","CA",93489.06,14309.95
"01060","MA",107240.55,550
"75234","TX",21331.62,86330.26
"33129","FL",56460.61,51156.01
"97211","OR",96144.79,11450.32
"10803","NY",66961.19,40534
"05602","VT",106503.5,852.02
"63122","MO",57370.44,49959.35
"90041","CA",89953.89,17015
"33064","FL",16127.73,90814.53
"48823","MI",81848.88,25083
"02806","RI",63815.99,42924
"94061","CA",87490.08,19095.92
"30075","GA",38291.51,68251.43
"94404","CA",65905.17,40584.96
"94574","CA",86761.88,19687.5
"79765","TX",3763.14,102596.17
"21204","MD",86534.48,19644.86
"22309","VA",59289.1,46799.48
"10026","NY",102666.8,3360
"07470","NJ",51547.37,54143.41
"90505","CA",58072.82,47297
"92106","CA",51404.58,53954.66
"21601","MD",38835.75,66517.34
"66208","KS",56726.2,48291.37
"92122","CA",84469.56,20456.83
"92679","CA",43153.06,61751.74
"92009","CA",69186.44,35548.98
"21030","MD",63747.34,40916.68
"55436","MN",46348.26,58232
"07079","NJ",93671.94,10900
"29407","SC",39229.44,64984.91
"32301","FL",58477.2,45729.92
"21044","MD",87856.54,16202.45
"20176","VA",63004.22,40992.4
"48334","MI",39380.53,64512.16
"37220","TN",44922,58762.32
"92649","CA",33038.31,70526.05
"18938","PA",49254.64,54256
"05403","VT",98090.74,5296
"32210","FL",27705.88,75567.82
"10033","NY",90928.59,12301.6
"83002","WY",20873,82345.29
"77096","TX",24569.43,78422.26
"77004","TX",69418.01,33508.84
"48322","MI",56229.26,46621.6
"85262","AZ",15823.35,86821
"10960","NY",98954.64,3604
"60637","IL",92025.75,10295
"93401","CA",51384.53,50888.16
"97229","OR",74294.45,27947.76
"33611","FL",56161.54,46031.08
"98125","WA",90276.83,11838.61
"48324","MI",26475.38,75609.38
"02458","MA",94717.82,7353.26
"78759","TX",73099.56,28947.08
"94403","CA",76386.92,25555.75
"93101","CA",73404.25,28397.16
"22305","VA",63767.53,37942
"23229","VA",54057.12,47637
"94612","CA",94459.79,7153.2
"22039","VA",62767.5,38775.09
"77009","TX",55180.24,46354.07
"02420","MA",80266.74,21227
"77478","TX",43409.69,58037
"60068","IL",72588.79,28834.16
"10706","NY",95210.65,6091
"78232","TX",42318.38,58967.62
"34228","FL",44295.42,56825.75
"80134","CO",52548.43,48569.8
"28173","NC",34958.82,66120.74
"90065","CA",97904.85,3027.82
"97239","OR",95380.94,5525
"29466","SC",41005.03,59890.6
"94044","CA",90755.17,10122.79
"97221","OR",67601.52,33227.2
"29928","SC",38124.74,62638.23
"53562","WI",66270.23,34405.96
"80016","CO",59367.07,41302
"93110","CA",46646.21,53881
"23226","VA",28220.68,72302.32
"43235","OH",33497.76,66862.01
"98070","WA",86921.3,13404
"91401","CA",83466.71,16791.6
"21230","MD",85673.42,14543.97
"94041","CA",91197.62,8948.79
"63017","MO",30087.14,69952.91
"30324","GA",84721.76,15246.16
"19067","PA",62081.53,37780.08
"03301","NH",77380.4,22325.6
"91748","CA",88390.39,11304.7
"22902","VA",76303.5,23280
"90802","CA",79185.38,20385.79
"77406","TX",16606.83,82733.16
"94952","CA",90539.21,8677.9
"90230","CA",88487.31,10669
"32801","FL",74025.69,25064.07
"91745","CA",86173.18,12748.56
"10510","NY",58040,40755
"75080","TX",26524.68,71794.54
"12866","NY",68764.64,29488.32
"27615","NC",46479.51,51652
"97034","OR",53345.09,44736.69
"77040","TX",9461.49,88569.2
"77707","TX",59414.67,38279
"33704","FL",53061.4,44576.33
"30067","GA",29859.28,67692.5
"94550","CA",69571.82,27852.48
"46077","IN",32141.14,65255.67
"91505","CA",82174.39,15168.33
"19130","PA",90828.54,6356
"27104","NC",34491.56,62661
"45242","OH",26941.45,70139.5
"70503","LA",19452.09,77592.52
"48084","MI",20620.66,76357.74
"92104","CA",91230.98,5679
"77345","TX",10916.29,85986.29
"07722","NJ",19558.55,77341.35
"05301","VT",96049.41,813
"28210","NC",56901.92,39929.39
"33405","FL",40056.83,56725.95
"07059","NJ",38448.72,58264.85
"27707","NC",63466.57,33184.2
"92612","CA",50155.29,46457.8
"65804","MO",33097.9,63485.36
"23113","VA",18554.99,77786
"98034","WA",77164.63,19142.32
"29615","SC",12177.64,84106.12
"43016","OH",18723.77,77505.55
"95008","CA",65382.54,30817.8
"78733","TX",41554.18,54610
"78028","TX",14050.02,82043.26
"32779","FL",41592.42,54455.81
"89141","NV",54370.39,41498.08
"92109","CA",47686.57,48176
"92672","CA",25964.79,69479.95
"01945","MA",59872.36,35413.19
"93940","CA",57255.68,38019.06
"97213","OR",92089.84,3095
"32803","FL",57982.11,37177.05
"40207","KY",59067.66,35929.39
"98502","WA",70927.08,23981.92
"98177","WA",87243.74,7626
"11222","NY",93033.73,1805
"91104","CA",86215.37,8550.2
"02115","MA",84202.47,10414
"98020","WA",73295.54,21246
"91301","CA",65400.36,29091.16
"46220","IN",57477.35,36861.41
"92116","CA",86473.53,7545
"28804","NC",70555.36,23390.02
"11205","NY",87690.38,6250
"11968","NY",55763.93,38176
"19063","PA",61194.84,32733
"30064","GA",26040.24,67856.45
"44106","OH",53588.4,40267.29
"63119","MO",73232.59,20623.1
"80439","CO",57622.75,36092.35
"80112","CO",42641.44,51068.23
"02818","RI",76104.02,17507
"75701","TX",5835.71,87651.51
"94086","CA",84352.55,9125.64
"34239","FL",51509.56,41945.06
"17601","PA",24759.66,68676.16
"53092","WI",23899.11,69446
"08057","NJ",36694.73,56564.02
"87506","NM",83431.07,9800
"33019","FL",55017.66,38070.22
"34119","FL",20270,72724.48
"29302","SC",7973.85,84933.65
"40059","KY",60351.83,32528.12
"20024","DC",82744.34,10030.9
"80027","CO",70838.32,21932.16
"10020","NY",21000,71650
"33462","FL",46747.5,45875.87
